modul_codi,modul_nom,modul_hores,modul_curs,ra_codi,ra_pes,ra_nota_minima,ra_descripcio,ca_codi,ca_pes,ca_descripcio
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.1,12,Realitza l'estudi de compatibilitat del sistema informàtic.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.2,11,Diferencia els modes d'instal·lació.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.3,11,Planifica i realitza el particionat del disc del servidor.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.4,11,Selecciona i aplica els sistemes d'arxius.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.5,11,Selecciona els components a instal·lar.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.6,11,Aplica procediments per l'automatització d'instal·lacions.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.7,11,Aplica preferències en la configuració de l'entorn personal.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.8,11,Actualitza el sistema operatiu en xarxa.
M04,Sistemes Operatius en Xarxa,132,2,RA1,15,5,Instal·la sistemes operatius en xarxa descrivint-ne les característiques i interpretant-ne la documentació tècnica.,CA1.9,11,Comprova la connectivitat del servidor amb els equips client.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.1,12,Configura i gestiona comptes d'usuari.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.2,11,Configura i gestiona perfils d'usuari.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.3,11,Configura i gestiona comptes d'equip.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.4,11,"Distingeix el propòsit dels grups, els seus tipus i àmbits."
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.5,11,Configura i gestiona grups.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.6,11,Gestiona la pertinença d'usuaris a grups.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.7,11,Identifica les característiques d'usuaris i grups predeterminats i especials.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.8,11,Planifica perfils mòbils d'usuaris.
M04,Sistemes Operatius en Xarxa,132,2,RA2,20,5,"Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.",CA2.9,11,"Utilitza eines per a l'administració d'usuaris i grups, incloses en el sistema operatiu en xarxa."
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.1,13,"Identifica la funció del servei de directori, els seus elements i nomenclatura."
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.2,13,Reconeix el concepte de domini i les seves funcions.
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.3,13,Estableix relacions de confiança entre dominis.
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.4,13,Realitza la instal·lació del servei de directori.
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.5,12,Realitza la configuració bàsica del servei de directori.
M04,Sistemes Operatius en Xarxa,132,2,RA3,15,5,Realitza tasques de gestió sobre dominis identificant necessitats i aplicant eines d'administració de dominis.,CA3.6,12,Utilitza agrupacions d'elements per a la creació de models administratius.
